ID,Imagen con URL marcador de posición,image,Imagen,Nombre,Descripción,Categoría,Precio Mayorista,Precio
30,IMG-20251212-WA0023.jpg,,https://drive.google.com/file/d/14X1z2O4fdlagTzagSahKsLfUdldDgVPc/view?usp=drive_link,Bikini Clásico Algodón (Femenino),"Pack de 6 unidades, estilo bikini clásico, algodón suave y colores básicos.",Ropa Interior,$150.00,$299.00
31,IMG-20251212-WA0026.jpg,,https://drive.google.com/file/d/1hmMn6xtlBP5MstF6Bi-iwXeZAjWhuZKT/view?usp=drive_link,Sostén Deportivo High Impact,"Soporte alto impacto, ideal para fitness y running, tirantes ajustables.",Ropa Interior,$15.00,$30.00
32,IMG-20251212-WA0029.jpg,,https://drive.google.com/file/d/1mYi8KAfiTJltSRUf6s85RkNPovZMkMyx/view?usp=drive_link,Sostén Básico con Aros,"Diseño con aros y copa preformada, cobertura completa, cómodo para uso diario.",Ropa Interior,$90.00,$179.99
33,IMG-20251212-WA0033.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0067.jpg,Paquete de 5 Tanga de Encaje,"Set de 5 tangas de encaje, diseño sexy y ligero, ideal para ocasiones especiales.",Ropa Interior,$25.00,$49.90
34,IMG-20251212-WA0036.jpg,,https://drive.google.com/file/d/1DKjNJQZy9v-7v-ZtJ7CIiJR1OOf7MeCX/view?usp=drive_link,Boxer de Bambú Hipoalergénico,"Tejido de fibra de bambú, propiedades antibacterianas e hipoalergénicas, confort superior.",Ropa Interior,$18.00,$37.50
35,IMG-20251212-WA0037.jpg,,https://drive.google.com/file/d/18xcF4-wtCDyLWKQ1AFgc1TPRDvnI3IaO/view?usp=drive_link,Camiseta Interior (Undershirt),"Camiseta interior de algodón, cuello en V, ideal para usar debajo de camisas.",Ropa Interior,$40.00,$85.00
36,IMG-20251212-WA0040.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0065.jpg,Lencería de Malla (Mesh),"Pieza de lencería de diseño atrevido, tejido de malla transparente.",Ropa Interior,$20.00,$45.00
37,IMG-20251212-WA0054.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0035.jpg,Boxer Termal Invierno,"Boxer de tejido térmico, ideal para climas fríos, aislamiento y calidez.",Ropa Interior,$10.00,$22.00
38,IMG-20251212-WA0068.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0016.jpg,Bralette sin Aros,"Sostén estilo bralette, sin aros, máxima comodidad y estilo moderno.",Ropa Interior,$7.50,$15.00
39,IMG-20251212-WA0071.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0018.jpg,Boxer Juvenil con Estampado Funky,"Boxer con diseños o estampados divertidos, enfocado en el mercado juvenil.",Ropa Interior,$19.99,$39.99
40,IMG-20251212-WA0058.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0020.jpg,Juego de Sábanas Super King,"4 Piezas, 1500 HILOS, Colección CASATEX® 2",Sábanas (Adulto),$15.50,$35.00
41,IMG-20251212-WA0063.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0023.jpg,Juego de Sábanas Queen,"4 Piezas, 1500 HILOS, Colección CASATEX®, 35cm alto de colchón 3",Sábanas (Adulto),$8.50,$17.00
42,IMG-20251212-WA0009.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0026.jpg,Juego de Sábanas FULL Premium,"4 Piezas, 5500 HILOS, 100% ALGODÓN, 45cm alto de colchón 4",Sábanas (Adulto),$6.00,$12.99
43,IMG-20251212-WA0048.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0029.jpg,Juego de Sábanas Twin (1500 HILOS),"3 Piezas, 1500 HILOS, Colección CASATEX® 5",Sábanas (Adulto),$4.20,$8.50
44,IMG-20251212-WA0067.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0033.jpg,Juego de Sábanas Twin (3500 HILOS),"3 Piezas, 3500 Hilos, 100% Algodón, ULTRA SUAVE, marca GOLDSUN 6",Sábanas (Adulto),$1.50,$3.50
45,IMG-20251212-WA0056.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0036.jpg,Juego de Sábanas KING con Fragancia,"3000 HILOS, 100% ALGODON con fragancia, 45cm alto de colchón 7",Sábanas (Adulto),$7.00,$14.00
46,IMG-20251212-WA0006.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0037.jpg,Juego de Sábanas Infantil Licencias Clásicas,"SET 3 PCS, TAMAÑO TWIN, 100% ALGODÓN (Licencias: Princesses, Frozen, Minnie) 8",Sábanas (Infantil),$2.50,$5.99
47,IMG-20251212-WA0065.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0040.jpg,Juego de Sábanas Infantil Licencias Modernas,"SET 3 PCS, TAMAÑO TWIN, 100% NO DESTIÑE (Licencias: Sonic, Paw Patrol, Spider-Man) 9",Sábanas (Infantil),$3.80,$7.50
49,IMG-20251212-WA0014.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0054.jpg,Zapatillas Running Ultraligeras,"Amortiguación de gel, malla transpirable, ideales para maratón y larga distancia.",Zapatillas,$5.50,$11.50
50,IMG-20251212-WA0028.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0068.jpg,Zapatillas Urbanas de Cuero,"Diseño casual y minimalista en cuero sintético, suela de goma plana y resistente.",Zapatillas,$9.00,$18.99
51,IMG-20251212-WA0030.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0071.jpg,Calzado Deportivo para Training,"Suela con agarre multidireccional, soporte lateral, aptas para cross-training y gimnasio.",Zapatillas,$2.10,$4.50
52,IMG-20251212-WA0051.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0014.jpg,Zapatillas de Baloncesto High Top,"Corte alto para soporte de tobillo, amortiguación responsiva, diseño exclusivo.",Zapatillas,$2.99,$6.00
53,IMG-20251212-WA0061.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0028.jpg,Zapatillas de Senderismo Impermeables,"Membrana impermeable, suela dentada (tacos) para tracción en terrenos irregulares.",Zapatillas,$7.00,$14.00
54,IMG-20251212-WA0069.jpg,,https://placeholder.com/imagen?file=IMG-20251212-WA0030.jpg,Zapatillas Clásicas de Lona,"Estilo atemporal, tejido de lona resistente, puntera de goma, unisex.",Zapatillas,$3.00,$6.50
,,,https://placeholder.com/imagen?file=IMG-20251212-WA0051.jpg,,,,,
,,,https://placeholder.com/imagen?file=IMG-20251212-WA0061.jpg,,,,,
,,,https://placeholder.com/imagen?file=IMG-20251212-WA0069.jpg,,,,,
